,title,date_x_tmdb,score_tmdb,genre_tmdb,overview_tmdb,crew_tmdb,orig_title_tmdb,status_tmdb,orig_lang_tmdb,budget_x_tmdb,revenue_tmdb,country_tmdb,Unnamed: 0_top_1000,overview_top_1000,original_language_top_1000,vote_count_top_1000,vote_average_top_1000
0,Smile,09/23/2022 ,68.0,"Horror, Mystery, Thriller","After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.","Sosie Bacon, Dr. Rose Cotter, Kyle Gallner, Joel, Caitlin Stasey, Laura Weaver, Jessie T. Usher, Trevor, Kal Penn, Dr. Morgan Desai, Rob Morgan, Robert Talley, Robin Weigert, Dr. Madeline Northcott, Judy Reyes, Victoria Munoz, Gillian Zinser, Holly",Smile, Released, English,17000000.0,216049734.0,AU,6904,"After learning of an urban legend in which a demented serial killer named SMILEY can be summoned through the Internet, mentally fragile Ashley must decide whether she is losing her mind or becoming Smiley's next victim.",en,230,4.2
2,Guardians of the Galaxy Volume 3,05/04/2023 ,0.0,"Science Fiction, Adventure, Comedy","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.","Chris Pratt, Peter Quill / Star-Lord, Zoe Saldaña, Gamora, Dave Bautista, Drax the Destroyer, Karen Gillan, Nebula, Pom Klementieff, Mantis, Bradley Cooper, Rocket (voice), Vin Diesel, Groot (voice), Sean Gunn, Kraglin / On-Set Rocket, Chukwudi Iwuji, The High Evolutionary",Guardians of the Galaxy Volume 3, Post Production, English,250000000.0,1240261.6,AU,5497,The third film based on Marvel's Guardians of the Galaxy.,en,0,0.0
3,In the Forest,01/28/2022 ,60.0,"Horror, Thriller","Helen and her daughter Emily reluctantly accompany Helen’s father Stan on a family camping trip, driving deep into the forest for a real outdoors experience, only to have angry landowner Howard arrive and force them to leave. When their RV gets stuck, Helen decides to seek help but discovers a disturbing secret on the man’s property. She must then fight to protect her family and make it out of the forest alive before being hunted down.","Debbon Ayer, Helen, Cristina Spruell, Emily, Lyman Ward, Stan, Don Baldaramos, Howard, Kaitlyn Dias, Natalie, Time Winters, Gary, Sharon Sharth, Pamela",In the Forest, Released, English,84600000.0,178745725.6,US,6092,"In the not too distant future, two young women who live in a remote ancient forest discover the world around them is on the brink of an apocalypse. Informed only by rumor, they fight intruders, disease, loneliness &amp; starvation.",en,399,5.8
4,Beauty Salon: Special Service 2,02/13/2018 ,70.0,Romance,"There is a special hair salon to satisfy from head to toe! Hyejin, who worked at a hairdresser who is famous as a decadent place. At first, I was reluctant to be served by my body, but from the moment I actively covet the guest. Hye-jin is a winner and winner of the special know-how of the president. But the new sex machine Zhuhei begins to take over all the guests with a tireless stamina.","Cho Tae Ho, , Kim Ji-yeon-III, , Jin Si-ah, , Hae Il, ", 미용실 특별한 서비스 2, Released, Korean,105740523.8,345465556.8,KR,4874,"A legendary beauty salon that is sure to become a regular once you go!""Sir, would you like to have a very hot service?""In order to overcome the financial difficulties of the beauty parlor,It begins to attract the male guests with the special technique that makes it from head to toe.Kurt, Firm, and 'it' to open the hair salon is good!",ko,0,0.0
5,Beauty Salon: Special Service,12/29/2016 ,62.0,"Romance, Drama","A legendary beauty salon that is sure to become a regular once you go!”Sir, would you like to have a very hot service?”In order to overcome the financial difficulties of the beauty parlor,It begins to attract the male guests with the special technique that makes it from head to toe.Kurt, Firm, and ‘it’ to open the hair salon is good!","Seo Won, , Hanna, , Kang Min-woo, , Min Do-yoon, ", 미용실 : 특별한 서비스, Released, Korean,119700000.0,333485619.2,KR,4874,"A legendary beauty salon that is sure to become a regular once you go!""Sir, would you like to have a very hot service?""In order to overcome the financial difficulties of the beauty parlor,It begins to attract the male guests with the special technique that makes it from head to toe.Kurt, Firm, and 'it' to open the hair salon is good!",ko,0,0.0
6,Spider-Man: Far From Home,07/01/2019 ,75.0,"Action, Adventure, Science Fiction","Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.","Tom Holland, Peter Parker / Spider-Man, Samuel L. Jackson, Nick Fury, Jake Gyllenhaal, Quentin Beck / Mysterio, Marisa Tomei, May Parker, Jon Favreau, Harold 'Happy' Hogan, Zendaya, Michelle 'MJ' Jones, Jacob Batalon, Ned Leeds, Tony Revolori, Eugene 'Flash' Thompson, Angourie Rice, Betty Brant",Spider-Man: Far From Home, Released, English,160000000.0,1132107522.0,AU,61,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",en,6658,7.6
7,Heaven Is for Real,04/16/2014 ,67.0,Drama,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.","Greg Kinnear, Todd Burpo, Kelly Reilly, Sonja Burpo, Connor Corum, Colton, Thomas Haden Church, Jay Wilkins, Jacob Vargas, Michael, Lane Styles, Cassie, Darren Felbel, Mr. Parker, Ali Tataryn, Arch Angel #2, Jon Ted Wynne, Mr. Jackson",Heaven Is for Real, Released, English,12000000.0,101332962.0,US,3036,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.",en,431,6.4
8,The Godfather Part III,02/28/1991 ,74.0,"Crime, Drama, Thriller","In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.","Al Pacino, Michael Corleone, Diane Keaton, Kay Adams, Talia Shire, Connie Corleone Rizzi, Andy García, Vincent Mancini, Eli Wallach, Don Altobello, Joe Mantegna, Joey Zasa, George Hamilton, B.J. Harrison, Bridget Fonda, Grace Hamilton, Sofia Coppola, Mary Corleone",The Godfather Part III, Released, English,54000000.0,136766062.0,AU,233,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",en,6917,8.5
10,The Godfather Part II,02/20/1975 ,86.0,"Drama, Crime","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","Al Pacino, Don Michael Corleone, Robert Duvall, Tom Hagen, Diane Keaton, Kay Corleone, Robert De Niro, Don Vito Corleone, John Cazale, Frederico 'Fredo' Corleone, Talia Shire, Constanzia 'Connie' Corleone, Lee Strasberg, Hyman Roth, Michael V. Gazzo, Frank Pentangeli, G. D. Spradlin, Senator Pat Geary",The Godfather Part II, Released, English,13000000.0,102600000.0,AU,233,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",en,6917,8.5
12,Beauty Salon: Special Service 3,04/29/2019 ,64.0,Romance,"In a deserted salon, female hair designer Se-jeong quits, and the salon is at risk. Jeong-soo, the owner, takes measures to overcome this hardship! He hires special male designers with 'special services'. Lonely women in the neighborhood soon hear about this, and start swarming into the salon.","Min Jung, , Min Do-yoon, , Kim Ji-ah, , Kang Min-woo, ", 미용실 : 특별한 서비스 3, Released, Korean,77400000.0,431611098.0,KR,4874,"A legendary beauty salon that is sure to become a regular once you go!""Sir, would you like to have a very hot service?""In order to overcome the financial difficulties of the beauty parlor,It begins to attract the male guests with the special technique that makes it from head to toe.Kurt, Firm, and 'it' to open the hair salon is good!",ko,0,0.0
