file,file_path,source,scene,hour,color,new_file_name
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Neutral_dark.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Neutral_dark.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_medium_cloud.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_medium_cloud.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_medium_cloud2.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_medium_cloud2.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
FishingSpot.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/FishingSpot.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
industrial_sunset_puresky_8k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/industrial_sunset_puresky_8k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
.DS_Store,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/.DS_Store,src01,sce02,hr01,col01,src01_sce02_hr01_col01
spruit_sunrise_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/spruit_sunrise_4k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_no_cloud.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_no_cloud.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
industrial_sunset_puresky_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/industrial_sunset_puresky_4k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
EmptyCampsite.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/EmptyCampsite.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
fouriesburg_mountain_midday_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/fouriesburg_mountain_midday_4k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Bench_And_Sidewalk.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Bench_And_Sidewalk.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunrise.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunrise.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
HDR_151_Forest_8k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/HDR_151_Forest_8k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
marry_hall_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/marry_hall_4k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunset2.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_Sunset2.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Creekside.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Creekside.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
CloudyClearing.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/CloudyClearing.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
.DS_Store_2,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/.DS_Store_2,src01,sce02,hr01,col01,src01_sce02_hr01_col01
Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_light_cloud.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_dense_by_CgChoco_Dense_Cloud_HDRI_light_cloud.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
spiaggia_di_mondello_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/spiaggia_di_mondello_4k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_sunrise_dark.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_sunrise_dark.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
.DS_Store_3,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/.DS_Store_3,src01,sce02,hr01,col01,src01_sce02_hr01_col01
cgaxis_hdri_skies_01_69.hdr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/cgaxis_hdri_skies_01_69.hdr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.hdr
SunnyClearing.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/SunnyClearing.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Sunset.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Sunset.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
WatersEdge.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/WatersEdge.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
LakePath.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/LakePath.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_bright.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_bright.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
outdoor_workshop_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/outdoor_workshop_4k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_by_CgChoco_Light_clouds_Sunrise_raw.exr.tx,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_clouds_Sunrise_raw.exr.tx,src01,sce02,hr01,col01,src01_sce02_hr01_col01.tx
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_sunrise_low.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_sunrise_low.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
quarry_03_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/quarry_03_4k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
cgaxis_hdri_skies_01_53.hdr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/cgaxis_hdri_skies_01_53.hdr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.hdr
kloofendal_48d_partly_cloudy_8k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/kloofendal_48d_partly_cloudy_8k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Noon.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/Above_Cloud_HDRI_by_CgChoco_Light_Clouds_Noon.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
simons_town_rocks_4k.exr,/Users/suhail/Library/CloudStorage/Dropbox/threeD/lib/temp_hdir/simons_town_rocks_4k.exr,src01,sce02,hr01,col01,src01_sce02_hr01_col01.exr
